iso3,country_ru,Country,region_ru,Region,subregion_ru,Subregion,year,sex,age_group,count,rate_per_100k
AFG,Афганистан,Afghanistan,Азия,Asia,Южная Азия,Южная Азия,2019,Все,Все,2712.0,7.16396695794585
ALB,Албания,Albania,Европа,Europe,Южная Европа,Южная Европа,2019,Все,Все,65.0,2.25302550996799
DZA,Алжир,Algeria,Африка,Africa,Северная Африка,Северная Африка,2019,Все,Все,519.0,1.19876531330297
ASM,Американское Самоа,American Samoa,Океания,Oceania,Полинезия,Полинезия,2019,Все,Все,0.0,0.0
ATG,Антигуа и Барбуда,Antigua and Barbuda,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Все,Все,3.0,3.28358699042834
ARG,Аргентина,Argentina,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Все,Все,2308.0,5.13191495105041
ARM,Армения,Armenia,Азия,Asia,Западная Азия,Западная Азия,2019,Все,Все,73.0,2.51379877522903
AUS,Австралия,Australia,Океания,Oceania,Австралия и Новая Зеландия,Австралия и Новая Зеландия,2019,Все,Все,225.0,0.882951478402183
AUT,Австрия,Austria,Европа,Europe,Западная Европа,Западная Европа,2019,Все,Все,77.0,0.86703158562286
AZE,Азербайджан,Azerbaijan,Азия,Asia,Западная Азия,Западная Азия,2019,Все,Все,168.0,1.66164299896889
BHS,Багамские Острова,Bahamas,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Все,Все,95.0,24.0704681959437
BHR,Бахрейн,Bahrain,Азия,Asia,Западная Азия,Западная Азия,2019,Все,Все,4.0,0.269238704006036
BRB,Барбадос,Barbados,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Все,Все,48.0,17.0692460193985
BLR,Беларусь,Belarus,Европа,Europe,Восточная Европа,Восточная Европа,2019,Все,Все,225.0,2.38463165310244
BLZ,Белиз,Belize,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Все,Все,134.0,34.7304566666278
BMU,Бермудские Острова,Bermuda,Америка,Americas,Северная Америка,Северная Америка,2019,Все,Все,0.0,0.0
BTN,Бутан,Bhutan,Азия,Asia,Южная Азия,Южная Азия,2019,Все,Все,8.0,1.04599228057697
BOL,Боливия,Bolivia (Plurinational State of),Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Все,Все,497.0,4.25827764835632
BIH,Босния и Герцеговина,Bosnia and Herzegovina,Европа,Europe,Южная Европа,Южная Европа,2019,Все,Все,42.0,1.25540534198886
BRA,Бразилия,Brazil,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Все,Все,44073.0,21.2445602088385
BGR,Болгария,Bulgaria,Европа,Europe,Восточная Европа,Восточная Европа,2019,Все,Все,83.0,1.18988414972527
CPV,Кабо-Верде,Cabo Verde,Африка,Africa,Африка южнее Сахары,Африка южнее Сахары,2019,Все,Все,33.0,6.41893469025722
CAN,Канада,Canada,Америка,Americas,Северная Америка,Северная Америка,2019,Все,Все,689.0,1.82357460879594
CYM,Каймановы острова,Cayman Islands,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Все,Все,2.0,2.97057644035825
CHL,Чили,Chile,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Все,Все,924.0,4.81306553520039
CHN,Китай,China,Азия,Asia,Восточная Азия,Восточная Азия,2019,Все,Все,7379.0,0.518362801144556
HKG,Гонконг ,"China, Hong Kong Special Administrative Region",Азия,Asia,Восточная Азия,Восточная Азия,2019,Все,Все,24.0,0.320606459178181
MAC,Макао,"China, Macao Special Administrative Region",Азия,Asia,Восточная Азия,Восточная Азия,2019,Все,Все,2.0,0.29807414296232
COL,Колумбия,Colombia,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Все,Все,11678.0,23.3990612924966
CRI,Коста-Рика,Costa Rica,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Все,Все,563.0,11.2610056078008
HRV,Хорватия,Croatia,Европа,Europe,Южная Европа,Южная Европа,2019,Все,Все,33.0,0.827828171469303
CUB,Куба,Cuba,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Все,Все,500.0,4.46315139638841
CYP,Кипр,Cyprus,Азия,Asia,Западная Азия,Западная Азия,2019,Все,Все,15.0,1.16579872951254
CZE,Чехия,Czechia,Европа,Europe,Восточная Европа,Восточная Европа,2019,Все,Все,91.0,0.862160849844266
DNK,Дания,Denmark,Европа,Europe,Северная Европа,Северная Европа,2019,Все,Все,50.0,0.859901642730301
DMA,Доминика,Dominica,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Все,Все,13.0,19.151302656875
DOM,Доминиканская Республика,Dominican Republic,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Все,Все,1026.0,9.41799066618377
ECU,Эквадор,Ecuador,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Все,Все,1187.0,6.84543557226847
SLV,Сальвадор,El Salvador,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Все,Все,2398.0,38.5386955905095
EST,Эстония,Estonia,Европа,Europe,Северная Европа,Северная Европа,2019,Все,Все,26.0,1.95957029638124
FIN,Финляндия,Finland,Европа,Europe,Северная Европа,Северная Европа,2019,Все,Все,81.0,1.46692385524251
FRA,Франция,France,Европа,Europe,Западная Европа,Западная Европа,2019,Все,Все,753.0,1.14560504750237
GUF,Французская Гвиана,French Guiana,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Все,Все,37.781709,13.2303721005155
GEO,Грузия,Georgia,Азия,Asia,Западная Азия,Западная Азия,2019,Все,Все,77.0,2.02806499553233
DEU,Германия,Germany,Европа,Europe,Западная Европа,Западная Европа,2019,Все,Все,623.0,0.745579302641966
GHA,Гана,Ghana,Африка,Africa,Африка южнее Сахары,Африка южнее Сахары,2019,Все,Все,571.0,1.82667713193775
GRC,Греция,Greece,Европа,Europe,Южная Европа,Южная Европа,2019,Все,Все,78.0,0.727708640014711
GRD,Гренада,Grenada,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Все,Все,16.0,13.7953035613438
GUM,Гуам,Guam,Океания,Oceania,Микронезия,Микронезия,2019,Все,Все,7.0,4.32611490161179
GTM,Гватемала,Guatemala,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Все,Все,4437.0,25.9415998284592
GUY,Гайана,Guyana,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Все,Все,136.0,16.8386645453251
VAT,Святой Престол,Holy See,Европа,Europe,Южная Европа,Южная Европа,2019,Все,Все,0.0,0.0
HND,Гондурас,Honduras,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Все,Все,4078.0,41.0111655865032
HUN,Венгрия,Hungary,Европа,Europe,Восточная Европа,Восточная Европа,2019,Все,Все,65.0,0.66527835015882
ISL,Исландия,Iceland,Европа,Europe,Северная Европа,Северная Европа,2019,Все,Все,1.0,0.277239086829896
IND,Индия,India,Азия,Asia,Южная Азия,Южная Азия,2019,Все,Все,40976.0,2.94997162020176
IRQ_C,Центральный Ирак,Iraq (Central Iraq),Азия,Asia,Западная Азия,Западная Азия,2019,Все,Все,5299.0,15.7340619875722
IRL,Ирландия,Ireland,Европа,Europe,Северная Европа,Северная Европа,2019,Все,Все,32.0,0.648627918850972
ISR,Израиль,Israel,Азия,Asia,Западная Азия,Западная Азия,2019,Все,Все,142.0,1.6402012873501
ITA,Италия,Italy,Европа,Europe,Южная Европа,Южная Европа,2019,Все,Все,317.0,0.527189893600108
JAM,Ямайка,Jamaica,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Все,Все,1340.0,47.462677157099
JPN,Япония,Japan,Азия,Asia,Восточная Азия,Восточная Азия,2019,Все,Все,319.0,0.251776994076062
JOR,Иордания,Jordan,Азия,Asia,Западная Азия,Западная Азия,2019,Все,Все,122.0,1.14319003336944
KEN,Кения,Kenya,Африка,Africa,Африка южнее Сахары,Африка южнее Сахары,2019,Все,Все,1576.0,3.07795502113628
XKX,Республика Косово,Kosovo under UNSCR 1244,Европа,Europe,Южная Европа,Южная Европа,2019,Все,Все,24.0,1.36748864129747
KWT,Кувейт,Kuwait,Азия,Asia,Западная Азия,Западная Азия,2019,Все,Все,16.0,0.360182418888326
LVA,Латвия,Latvia,Европа,Europe,Северная Европа,Северная Европа,2019,Все,Все,65.0,3.39556267869149
LBN,Ливан,Lebanon,Азия,Asia,Западная Азия,Западная Азия,2019,Все,Все,182.0,3.14085853124481
LIE,Лихтенштейн,Liechtenstein,Европа,Europe,Западная Европа,Западная Европа,2019,Все,Все,1.0,2.60145681581686
LTU,Литва,Lithuania,Европа,Europe,Северная Европа,Северная Европа,2019,Все,Все,94.0,3.36307869103253
LUX,Люксембург,Luxembourg,Европа,Europe,Западная Европа,Западная Европа,2019,Все,Все,4.0,0.644991719918795
MYS,Малайзия,Malaysia,Азия,Asia,Южно-восточная Азия,Южно-восточная Азия,2019,Все,Все,310.0,0.9270169844912
MDV,Мальдивы,Maldives,Азия,Asia,Южная Азия,Южная Азия,2019,Все,Все,3.0,0.615093155858455
MLT,Мальта,Malta,Европа,Europe,Южная Европа,Южная Европа,2019,Все,Все,5.0,0.992032983112623
MRT,Мавритания,Mauritania,Африка,Africa,Африка южнее Сахары,Африка южнее Сахары,2019,Все,Все,48.0,1.07437639165317
MUS,Маврикий,Mauritius,Африка,Africa,Африка южнее Сахары,Африка южнее Сахары,2019,Все,Все,27.0,2.09909272547754
MEX,Мексика,Mexico,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Все,Все,36661.0,29.150867187807
FSM,Федеративные Штаты Микронезии,Micronesia (Federated States of),Океания,Oceania,Микронезия,Микронезия,2019,Все,Все,1.0,0.906766290056401
MNG,Монголия,Mongolia,Азия,Asia,Восточная Азия,Восточная Азия,2019,Все,Все,205.0,6.34259904548525
MNE,Черногория,Montenegro,Европа,Europe,Южная Европа,Южная Европа,2019,Все,Все,23.0,3.76021900823406
MAR,Марокко,Morocco,Африка,Africa,Северная Африка,Северная Африка,2019,Все,Все,1004.0,2.77264595868349
MMR,Мьянма,Myanmar,Азия,Asia,Южно-восточная Азия,Южно-восточная Азия,2019,Все,Все,1519.0,2.8855992129134
NAM,Намибия,Namibia,Африка,Africa,Африка южнее Сахары,Африка южнее Сахары,2019,Все,Все,319.0,12.0354899812092
NPL,Непал,Nepal,Азия,Asia,Южная Азия,Южная Азия,2019,Все,Все,555.0,1.95325811107588
NLD,Нидерланды,Netherlands (Kingdom of the),Европа,Europe,Западная Европа,Западная Европа,2019,Все,Все,125.0,0.712758090417298
NZL,Новая Зеландия,New Zealand,Океания,Oceania,Австралия и Новая Зеландия,Австралия и Новая Зеландия,2019,Все,Все,114.0,2.28484272415384
NIC,Никарагуа,Nicaragua,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Все,Все,515.0,7.94304819024202
NGA,Нигерия,Nigeria,Африка,Africa,Африка южнее Сахары,Африка южнее Сахары,2019,Все,Все,44200.0,21.099298161443
MKD,Северная Македония,North Macedonia,Европа,Europe,Южная Европа,Южная Европа,2019,Все,Все,23.0,1.21203114814657
NOR,Норвегия,Norway,Европа,Europe,Северная Европа,Северная Европа,2019,Все,Все,28.0,0.523586594350632
OMN,Оман,Oman,Азия,Asia,Западная Азия,Западная Азия,2019,Все,Все,23.0,0.500953881532248
PAK,Пакистан,Pakistan,Азия,Asia,Южная Азия,Южная Азия,2019,Все,Все,8014.0,3.47225684652177
PAN,Панама,Panama,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Все,Все,480.0,11.3349220328569
PRY,Парагвай,Paraguay,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Все,Все,554.0,8.50337786708883
PER,Перу,Peru,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Все,Все,2385.0,7.3499267457301
PHL,Филиппины,Philippines,Азия,Asia,Южно-восточная Азия,Южно-восточная Азия,2019,Все,Все,4764.0,4.2994572517325
POL,Польша,Poland,Европа,Europe,Восточная Европа,Восточная Европа,2019,Все,Все,253.0,0.661855188726895
PRT,Португалия,Portugal,Европа,Europe,Южная Европа,Южная Европа,2019,Все,Все,73.0,0.705776821960449
PRI,Пуэрто-Рико,Puerto Rico,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Все,Все,633.0,19.2516608739342
QAT,Катар,Qatar,Азия,Asia,Западная Азия,Западная Азия,2019,Все,Все,11.0,0.393149056031246
KOR,Республика Корея,Republic of Korea,Азия,Asia,Восточная Азия,Восточная Азия,2019,Все,Все,297.0,0.573715197653771
MDA,Молдова,Republic of Moldova,Европа,Europe,Восточная Европа,Восточная Европа,2019,Все,Все,121.0,3.88747276359475
ROU,Румыния,Romania,Европа,Europe,Восточная Европа,Восточная Европа,2019,Все,Все,244.0,1.25118311157138
RUS,Россия,Russian Federation,Европа,Europe,Восточная Европа,Восточная Европа,2019,Все,Все,11202.0,7.64469087376708
RWA,Руанда,Rwanda,Африка,Africa,Африка южнее Сахары,Африка южнее Сахары,2019,Все,Все,404.0,3.16215359253131
KNA,Сент-Китс и Невис,Saint Kitts and Nevis,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Все,Все,12.0,25.55828887256
LCA,Сент-Люсия,Saint Lucia,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Все,Все,46.0,25.8919349436991
VCT,Сент-Винсент и Гренадины,Saint Vincent and the Grenadines,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Все,Все,19.0,18.2399416321868
SAU,Саудовская Аравия,Saudi Arabia,Азия,Asia,Западная Азия,Западная Азия,2019,Все,Все,285.0,0.935259944754359
SRB,Сербия,Serbia,Европа,Europe,Южная Европа,Южная Европа,2019,Все,Все,88.0,1.26325112750546
SYC,Сейшельские Острова,Seychelles,Африка,Africa,Африка южнее Сахары,Африка южнее Сахары,2019,Все,Все,10.0,8.49975138227207
SGP,Сингапур,Singapore,Азия,Asia,Южно-восточная Азия,Южно-восточная Азия,2019,Все,Все,12.0,0.211656543163604
SVK,Словакия,Slovakia,Европа,Europe,Восточная Европа,Восточная Европа,2019,Все,Все,76.0,1.39433538407656
SVN,Словения,Slovenia,Европа,Europe,Южная Европа,Южная Европа,2019,Все,Все,14.0,0.671965756625042
ZAF,Южная Африка,South Africa,Африка,Africa,Африка южнее Сахары,Африка южнее Сахары,2019,Все,Все,21325.0,35.7874756270719
ESP,Испания,Spain,Европа,Europe,Южная Европа,Южная Европа,2019,Все,Все,331.0,0.69779523479218
LKA,Шри-Ланка,Sri Lanka,Азия,Asia,Южная Азия,Южная Азия,2019,Все,Все,742.0,3.31094038448808
PSE,Государство Палестина,State of Palestine,Азия,Asia,Западная Азия,Западная Азия,2019,Все,Все,16.0,0.322725871803602
SUR,Суринам,Suriname,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Все,Все,30.0,4.95239101438174
SWE,Швеция,Sweden,Европа,Europe,Северная Европа,Северная Европа,2019,Все,Все,111.0,1.07985845098683
CHE,Швейцария,Switzerland,Европа,Europe,Западная Европа,Западная Европа,2019,Все,Все,46.0,0.53628529631628
TON,Тонга,Tonga,Океания,Oceania,Полинезия,Полинезия,2019,Все,Все,1.0,0.946346864516251
TTO,Тринидад и Тобаго,Trinidad and Tobago,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Все,Все,539.0,36.2988873279844
TUN,Тунис,Tunisia,Африка,Africa,Северная Африка,Северная Африка,2019,Все,Все,571.0,4.80838825436222
TCA,Теркс и Кайкос,Turks and Caicos Islands,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Все,Все,13.0,30.1166440791836
TUV,Тувалу,Tuvalu,Океания,Oceania,Полинезия,Полинезия,2019,Все,Все,0.0,0.0
TUR,Турция,Türkiye,Азия,Asia,Западная Азия,Западная Азия,2019,Все,Все,2045.0,2.39580104761995
UGA,Уганда,Uganda,Африка,Africa,Африка южнее Сахары,Африка южнее Сахары,2019,Все,Все,4718.0,10.9721855213314
UKR,Украина,Ukraine,Европа,Europe,Восточная Европа,Восточная Европа,2019,Все,Все,1820.0,4.04827159044446
ARE,Объединённые Арабские Эмираты,United Arab Emirates,Азия,Asia,Западная Азия,Западная Азия,2019,Все,Все,64.0,0.68245938100401
TZA,Танзания,United Republic of Tanzania,Африка,Africa,Африка южнее Сахары,Африка южнее Сахары,2019,Все,Все,2719.0,4.59485426006108
USA,Соединённые Штаты Америки,United States of America,Америка,Americas,Северная Америка,Северная Америка,2019,Все,Все,16669.0,4.93472178525416
URY,Уругвай,Uruguay,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Все,Все,394.0,11.5977676357818
UZB,Узбекистан,Uzbekistan,Азия,Asia,Центральная Азия,Центральная Азия,2019,Все,Все,396.0,1.20128497449438
VUT,Вануату,Vanuatu,Океания,Oceania,Меланезия,Меланезия,2019,Все,Все,2.0,0.684967866444965
VEN,Венесуэла,Venezuela (Bolivarian Republic of),Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Все,Все,11874.0,41.0324133949647
ZWE,Зимбабве,Zimbabwe,Африка,Africa,Африка южнее Сахары,Африка южнее Сахары,2019,Все,Все,790.0,5.1730796210621
ATG,Антигуа и Барбуда,Antigua and Barbuda,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Женщины,0-9,0.0,0.0
ARG,Аргентина,Argentina,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Женщины,0-9,16.0,0.452101537484304
AUS,Австралия,Australia,Океания,Oceania,Австралия и Новая Зеландия,Австралия и Новая Зеландия,2019,Женщины,0-9,5.0,0.322982080631184
AUT,Австрия,Austria,Европа,Europe,Западная Европа,Западная Европа,2019,Женщины,0-9,1.0,0.240171290164145
BHS,Багамские Острова,Bahamas,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Женщины,0-9,0.0,0.0
BRB,Барбадос,Barbados,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Женщины,0-9,0.0,0.0
BLZ,Белиз,Belize,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Женщины,0-9,0.0,0.0
BTN,Бутан,Bhutan,Азия,Asia,Южная Азия,Южная Азия,2019,Женщины,0-9,1.0,1.78472631222002
BOL,Боливия,Bolivia (Plurinational State of),Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Женщины,0-9,24.0,1.98151903249031
BIH,Босния и Герцеговина,Bosnia and Herzegovina,Европа,Europe,Южная Европа,Южная Европа,2019,Женщины,0-9,0.0,0.0
CAN,Канада,Canada,Америка,Americas,Северная Америка,Северная Америка,2019,Женщины,0-9,10.0,0.512738737565445
CHL,Чили,Chile,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Женщины,0-9,8.0,0.680657004173278
COL,Колумбия,Colombia,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Женщины,0-9,31.0,0.889783264583225
CRI,Коста-Рика,Costa Rica,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Женщины,0-9,2.0,0.588888267284607
HRV,Хорватия,Croatia,Европа,Europe,Южная Европа,Южная Европа,2019,Женщины,0-9,1.0,0.551143346873088
CZE,Чехия,Czechia,Европа,Europe,Восточная Европа,Восточная Европа,2019,Женщины,0-9,5.0,0.913665048565866
DNK,Дания,Denmark,Европа,Europe,Северная Европа,Северная Европа,2019,Женщины,0-9,1.0,0.333300003333
DMA,Доминика,Dominica,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Женщины,0-9,0.0,0.0
DOM,Доминиканская Республика,Dominican Republic,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Женщины,0-9,2.0,0.198167053835548
ECU,Эквадор,Ecuador,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Женщины,0-9,4.0,0.266197715025364
SLV,Сальвадор,El Salvador,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Женщины,0-9,2.0,0.377484912399908
FRA,Франция,France,Европа,Europe,Западная Европа,Западная Европа,2019,Женщины,0-9,15.0,0.408731207050014
DEU,Германия,Germany,Европа,Europe,Западная Европа,Западная Европа,2019,Женщины,0-9,16.0,0.427715139044177
GTM,Гватемала,Guatemala,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Женщины,0-9,12.0,0.613132845705375
GUY,Гайана,Guyana,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Женщины,0-9,0.0,0.0
HND,Гондурас,Honduras,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Женщины,0-9,10.0,0.940484716417995
HUN,Венгрия,Hungary,Европа,Europe,Восточная Европа,Восточная Европа,2019,Женщины,0-9,6.0,1.33197915452623
ISL,Исландия,Iceland,Европа,Europe,Северная Европа,Северная Европа,2019,Женщины,0-9,0.0,0.0
IRL,Ирландия,Ireland,Европа,Europe,Северная Европа,Северная Европа,2019,Женщины,0-9,1.0,0.30829561850267
ITA,Италия,Italy,Европа,Europe,Южная Европа,Южная Европа,2019,Женщины,0-9,4.0,0.165136164056174
JAM,Ямайка,Jamaica,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Женщины,0-9,2.0,1.09844844157627
XKX,Республика Косово,Kosovo under UNSCR 1244,Европа,Europe,Южная Европа,Южная Европа,2019,Женщины,0-9,0.0,0.0
LVA,Латвия,Latvia,Европа,Europe,Северная Европа,Северная Европа,2019,Женщины,0-9,1.0,1.01858406628945
LTU,Литва,Lithuania,Европа,Europe,Северная Европа,Северная Европа,2019,Женщины,0-9,0.0,0.0
MLT,Мальта,Malta,Европа,Europe,Южная Европа,Южная Европа,2019,Женщины,0-9,0.0,0.0
MEX,Мексика,Mexico,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Женщины,0-9,117.0,1.08658907615782
NLD,Нидерланды,Netherlands (Kingdom of the),Европа,Europe,Западная Европа,Западная Европа,2019,Женщины,0-9,2.0,0.227301914904982
NOR,Норвегия,Norway,Европа,Europe,Северная Европа,Северная Европа,2019,Женщины,0-9,2.0,0.674165635755049
PAN,Панама,Panama,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Женщины,0-9,4.0,1.06967030087151
PER,Перу,Peru,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Женщины,0-9,26.0,0.959900701964308
POL,Польша,Poland,Европа,Europe,Восточная Европа,Восточная Европа,2019,Женщины,0-9,14.0,0.731693677487197
PRT,Португалия,Portugal,Европа,Europe,Южная Европа,Южная Европа,2019,Женщины,0-9,0.820224719101124,0.188172626113069
KNA,Сент-Китс и Невис,Saint Kitts and Nevis,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Женщины,0-9,0.0,0.0
LCA,Сент-Люсия,Saint Lucia,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Женщины,0-9,0.0,0.0
VCT,Сент-Винсент и Гренадины,Saint Vincent and the Grenadines,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Женщины,0-9,0.0,0.0
SRB,Сербия,Serbia,Европа,Europe,Южная Европа,Южная Европа,2019,Женщины,0-9,1.0,0.308993407625648
SGP,Сингапур,Singapore,Азия,Asia,Южно-восточная Азия,Южно-восточная Азия,2019,Женщины,0-9,3.0,1.34327957229978
SVN,Словения,Slovenia,Европа,Europe,Южная Европа,Южная Европа,2019,Женщины,0-9,0.0,0.0
ESP,Испания,Spain,Европа,Europe,Южная Европа,Южная Европа,2019,Женщины,0-9,8.0,0.378535879996555
SUR,Суринам,Suriname,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Женщины,0-9,0.0,0.0
CHE,Швейцария,Switzerland,Европа,Europe,Западная Европа,Западная Европа,2019,Женщины,0-9,2.0,0.472083351036459
TTO,Тринидад и Тобаго,Trinidad and Tobago,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Женщины,0-9,1.0,1.09829160740468
TUR,Турция,Türkiye,Азия,Asia,Западная Азия,Западная Азия,2019,Женщины,0-9,18.0,0.275738990067652
URY,Уругвай,Uruguay,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Женщины,0-9,1.0,0.455902801522715
ATG,Антигуа и Барбуда,Antigua and Barbuda,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Женщины,10-14,0.0,0.0
ARG,Аргентина,Argentina,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Женщины,10-14,11.0,0.635510843837076
AUS,Австралия,Australia,Океания,Oceania,Австралия и Новая Зеландия,Австралия и Новая Зеландия,2019,Женщины,10-14,0.0,0.0
AUT,Австрия,Austria,Европа,Europe,Западная Европа,Западная Европа,2019,Женщины,10-14,1.0,0.485725734963753
BHS,Багамские Острова,Bahamas,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Женщины,10-14,0.0,0.0
BRB,Барбадос,Barbados,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Женщины,10-14,0.0,0.0
BLZ,Белиз,Belize,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Женщины,10-14,0.0,0.0
BTN,Бутан,Bhutan,Азия,Asia,Южная Азия,Южная Азия,2019,Женщины,10-14,0.0,0.0
BOL,Боливия,Bolivia (Plurinational State of),Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Женщины,10-14,7.0,1.19964593307175
BIH,Босния и Герцеговина,Bosnia and Herzegovina,Европа,Europe,Южная Европа,Южная Европа,2019,Женщины,10-14,0.0,0.0
CAN,Канада,Canada,Америка,Americas,Северная Америка,Северная Америка,2019,Женщины,10-14,3.0,0.298897665409968
CHL,Чили,Chile,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Женщины,10-14,3.0,0.512790709599784
COL,Колумбия,Colombia,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Женщины,10-14,24.0,1.25012012873112
