Country,year,pop_thousands,age_group,sex
Gabon,2022,2430.747,Все,Все
Gabon,2023,2484.788,Все,Все
Sao Tome and Principe,2019,213.392,Все,Все
Sao Tome and Principe,2020,217.434,Все,Все
Sao Tome and Principe,2021,221.961,Все,Все
Sao Tome and Principe,2022,226.305,Все,Все
Sao Tome and Principe,2023,230.872,Все,Все
Algeria,2019,43294.546,Все,Все
Algeria,2020,44042.091,Все,Все
Algeria,2021,44761.099,Все,Все
Algeria,2022,45477.39,Все,Все
Algeria,2023,46164.219,Все,Все
Egypt,2019,107553.158,Все,Все
Egypt,2020,109315.124,Все,Все
Egypt,2021,110957.008,Все,Все
Egypt,2022,112618.25,Все,Все
Egypt,2023,114535.772,Все,Все
Libya,2019,6951.032,Все,Все
Libya,2020,7045.399,Все,Все
Libya,2021,7135.175,Все,Все
Libya,2022,7223.804,Все,Все
Libya,2023,7305.659,Все,Все
Morocco,2019,36210.898,Все,Все
Morocco,2020,36584.208,Все,Все
Morocco,2021,36954.442,Все,Все
Morocco,2022,37329.064,Все,Все
Morocco,2023,37712.505,Все,Все
Sudan,2019,45548.176,Все,Все
Sudan,2020,46789.231,Все,Все
Sudan,2021,48066.924,Все,Все
Sudan,2022,49383.346,Все,Все
Sudan,2023,50042.79,Все,Все
Tunisia,2019,11875.081,Все,Все
Tunisia,2020,11974.057,Все,Все
Tunisia,2021,12048.622,Все,Все
Tunisia,2022,12119.334,Все,Все
Tunisia,2023,12200.431,Все,Все
Western Sahara,2019,538.44,Все,Все
Western Sahara,2020,549.365,Все,Все
Western Sahara,2021,558.619,Все,Все
Western Sahara,2022,568.738,Все,Все
Western Sahara,2023,579.729,Все,Все
Botswana,2019,2332.083,Все,Все
Botswana,2020,2365.894,Все,Все
Botswana,2021,2401.44,Все,Все
Botswana,2022,2439.892,Все,Все
Botswana,2023,2480.244,Все,Все
Eswatini,2019,1179.874,Все,Все
Eswatini,2020,1192.73,Все,Все
Eswatini,2021,1206.594,Все,Все
Eswatini,2022,1218.916,Все,Все
Eswatini,2023,1230.506,Все,Все
Lesotho,2019,2209.406,Все,Все
Lesotho,2020,2235.726,Все,Все
Lesotho,2021,2261.542,Все,Все
Lesotho,2022,2286.11,Все,Все
Lesotho,2023,2311.472,Все,Все
Namibia,2019,2650.494,Все,Все
Namibia,2020,2728.762,Все,Все
Namibia,2021,2810.548,Все,Все
Namibia,2022,2889.662,Все,Все
Namibia,2023,2963.095,Все,Все
South Africa,2019,59587.886,Все,Все
South Africa,2020,60562.381,Все,Все
South Africa,2021,61502.603,Все,Все
South Africa,2022,62378.41,Все,Все
South Africa,2023,63212.384,Все,Все
Benin,2019,12726.755,Все,Все
Benin,2020,13070.169,Все,Все
Benin,2021,13413.417,Все,Все
Benin,2022,13759.5,Все,Все
Benin,2023,14111.034,Все,Все
Burkina Faso,2019,20961.952,Все,Все
Burkina Faso,2020,21478.69,Все,Все
Burkina Faso,2021,21995.243,Все,Все
Burkina Faso,2022,22509.038,Все,Все
Burkina Faso,2023,23025.776,Все,Все
Cabo Verde,2019,514.104,Все,Все
Cabo Verde,2020,514.679,Все,Все
Cabo Verde,2021,516.649,Все,Все
Cabo Verde,2022,519.741,Все,Все
Cabo Verde,2023,522.33,Все,Все
Côte d'Ivoire,2019,28193.009,Все,Все
Côte d'Ivoire,2020,28915.45,Все,Все
Côte d'Ivoire,2021,29639.736,Все,Все
Côte d'Ivoire,2022,30395.002,Все,Все
Côte d'Ivoire,2023,31165.654,Все,Все
Gambia,2019,2456.844,Все,Все
Gambia,2020,2515.734,Все,Все
Gambia,2021,2576.01,Все,Все
Gambia,2022,2636.47,Все,Все
Gambia,2023,2697.846,Все,Все
Ghana,2019,31258.945,Все,Все
Ghana,2020,31887.809,Все,Все
Ghana,2021,32518.665,Все,Все
Ghana,2022,33149.152,Все,Все
Ghana,2023,33787.914,Все,Все
Guinea,2019,13034.346,Все,Все
Guinea,2020,13371.183,Все,Все
Guinea,2021,13710.513,Все,Все
Guinea,2022,14055.137,Все,Все
Guinea,2023,14405.468,Все,Все
